Number of nets: 14
Temp	Prop-Cost	New-Cost
66.1371	-	38
66.1371	51	51
66.1371	57	57
66.1371	57	57
66.1371	62	62
66.1371	61	61
66.1371	66	66
66.1371	103	66
66.1371	66	66
66.1371	59	59
66.1371	53	53
66.1371	45	45
66.1371	46	46
66.1371	48	48
66.1371	63	48
66.1371	56	56
66.1371	68	68
66.1371	68	68
66.1371	68	68
66.1371	64	64
66.1371	64	64
66.1371	76	76
66.1371	79	79
66.1371	62	62
66.1371	64	64
66.1371	64	64
66.1371	64	64
66.1371	70	70
66.1371	67	67
66.1371	57	57
66.1371	57	57
66.1371	62	62
66.1371	72	62
59.5234	89	89
59.5234	81	81
59.5234	80	80
59.5234	70	70
59.5234	54	54
59.5234	70	70
59.5234	75	70
59.5234	78	78
59.5234	51	51
59.5234	54	54
59.5234	54	54
59.5234	56	56
59.5234	61	61
59.5234	61	61
59.5234	52	52
59.5234	58	58
59.5234	46	46
59.5234	58	58
59.5234	64	64
59.5234	77	77
59.5234	57	57
59.5234	64	64
59.5234	75	75
59.5234	53	53
59.5234	67	67
59.5234	72	67
59.5234	64	64
59.5234	56	56
59.5234	56	56
59.5234	52	52
59.5234	51	51
59.5234	51	51
53.571	60	60
53.571	62	62
53.571	51	51
53.571	52	52
53.571	46	46
53.571	52	52
53.571	68	52
53.571	66	66
53.571	76	76
53.571	58	58
53.571	57	57
53.571	55	55
53.571	48	48
53.571	51	51
53.571	53	53
53.571	63	63
53.571	64	64
53.571	64	64
53.571	61	61
53.571	59	59
53.571	59	59
53.571	55	55
53.571	57	57
53.571	55	55
53.571	73	73
53.571	73	73
53.571	75	75
53.571	73	73
53.571	64	64
53.571	55	55
53.571	55	55
53.571	55	55
48.2139	49	49
48.2139	47	47
48.2139	38	38
48.2139	38	38
48.2139	44	44
48.2139	38	38
48.2139	43	43
48.2139	39	39
48.2139	40	39
48.2139	48	48
48.2139	68	48
48.2139	57	57
48.2139	58	58
48.2139	59	59
48.2139	62	62
